"Year","DEPTH_STRATUM","SPATIAL_STRATUM","sets"
2020,"RD1","S1",6
2020,"RD2","S1",8
2020,"RD3","S1",5
2020,"RD1","S2",6
2020,"RD2","S2",7
2020,"RD3","S2",5
2020,"RD1","S3",7
2020,"RD2","S3",6
2020,"RD3","S3",4
2020,"RD1","S4",4
2020,"RD2","S4",6
2020,"RD3","S4",5
2020,"RD1","S5",6
2020,"RD2","S5",7
2020,"RD3","S5",5
