"Year","latitude","depth","avgtemp","MinTemp","MaxTemp"
2012,49.5,"Shallow",6.337082,0,0
2012,50.5,"Deep",3.266365,0,0
2012,50.5,"Mid",4.570411,0,0
2012,50.5,"Shallow",6.781316,0,1
2012,51.5,"Deep",3.078967,0,0
2012,51.5,"Mid",4.908328,0,0
2012,51.5,"Shallow",6.032044,0,0
2012,52.5,"Deep",2.972456,0,0
2012,52.5,"Mid",4.976393,0,1
2012,52.5,"Shallow",6.041845,0,0
2012,53.5,"Deep",3.126347,0,0
2012,53.5,"Mid",4.454941,1,0
2012,53.5,"Shallow",5.650895,0,0
2012,54.5,"Deep",2.939689,1,0
2012,54.5,"Mid",4.50629,0,0
2012,54.5,"Shallow",5.416958,1,0
2013,48.5,"Deep",3.427335,0,0
2013,48.5,"Mid",4.517111,0,0
2013,48.5,"Shallow",6.139747,0,0
2013,49.5,"Deep",3.879384,0,1
2013,49.5,"Mid",4.71098,0,1
2013,49.5,"Shallow",5.515515,0,0
2013,50.5,"Deep",3.415883,0,0
2013,50.5,"Mid",4.619443,0,0
2013,50.5,"Shallow",6.214598,0,1
2013,51.5,"Deep",2.990439,1,0
2013,51.5,"Mid",4.621051,0,0
2013,51.5,"Shallow",5.884063,0,0
2013,52.5,"Deep",3.018427,0,0
2013,52.5,"Mid",4.218104,1,0
2013,52.5,"Shallow",5.473442,1,0
2013,53.5,"Deep",3.282962,0,0
2013,53.5,"Mid",4.542553,0,0
2013,53.5,"Shallow",5.689338,0,0
2013,54.5,"Mid",4.566097,0,0
2013,54.5,"Shallow",5.866963,0,0
2014,48.5,"Deep",3.399525,0,0
2014,48.5,"Mid",4.911445,0,0
2014,48.5,"Shallow",6.306588,0,0
2014,49.5,"Deep",3.684175,0,1
2014,49.5,"Mid",4.653943,0,0
2014,49.5,"Shallow",7.129307,0,1
2014,50.5,"Deep",3.074329,1,0
2014,50.5,"Mid",4.849101,0,0
2014,50.5,"Shallow",6.628303,0,0
2014,51.5,"Deep",3.109977,0,0
2014,51.5,"Mid",4.807095,0,0
2014,51.5,"Shallow",6.143782,0,0
2014,52.5,"Deep",3.223819,0,0
2014,52.5,"Mid",4.937874,0,1
2014,52.5,"Shallow",6.137763,0,0
2014,53.5,"Deep",3.377238,0,0
2014,53.5,"Mid",4.499499,1,0
2014,53.5,"Shallow",6.147106,0,0
2014,54.5,"Deep",3.581432,0,0
2014,54.5,"Shallow",6.009382,1,0
2015,48.5,"Deep",3.274387,0,0
2015,48.5,"Mid",4.915888,0,1
2015,48.5,"Shallow",6.015828,1,0
2015,49.5,"Deep",3.260204,0,0
2015,49.5,"Mid",4.362942,0,0
2015,49.5,"Shallow",6.832007,0,0
2015,50.5,"Deep",3.126902,0,0
2015,50.5,"Mid",4.762489,0,0
2015,50.5,"Shallow",7.275872,0,1
2015,51.5,"Deep",3.101465,0,0
2015,51.5,"Mid",4.268531,1,0
2015,51.5,"Shallow",6.51732,0,0
2015,52.5,"Deep",3.147017,0,0
2015,52.5,"Mid",4.764036,0,0
2015,52.5,"Shallow",6.196184,0,0
2015,53.5,"Deep",3.37182,0,1
2015,53.5,"Mid",4.461652,0,0
2015,53.5,"Shallow",6.510202,0,0
2015,54.5,"Deep",3.07247,1,0
2015,54.5,"Mid",4.447022,0,0
2015,54.5,"Shallow",6.098407,0,0
2016,48.5,"Deep",2.823854,0,0
2016,48.5,"Mid",5.048669,0,1
2016,48.5,"Shallow",6.494675,0,0
2016,49.5,"Deep",3.525761,0,1
2016,49.5,"Mid",5.046998,0,0
2016,49.5,"Shallow",6.931014,0,0
2016,50.5,"Deep",3.15313,0,0
2016,50.5,"Mid",4.328658,0,0
2016,50.5,"Shallow",6.933248,0,1
2016,51.5,"Deep",3.30084,0,0
2016,51.5,"Mid",4.766431,0,0
2016,51.5,"Shallow",6.593045,0,0
2016,52.5,"Deep",2.852107,0,0
2016,52.5,"Mid",4.300783,0,0
2016,52.5,"Shallow",6.044506,1,0
2016,53.5,"Deep",3.023069,0,0
2016,53.5,"Mid",4.284761,1,0
2016,53.5,"Shallow",6.0632,0,0
2016,54.5,"Deep",2.428628,1,0
2017,48.5,"Deep",3.262878,0,0
2017,48.5,"Mid",4.578586,0,0
2017,48.5,"Shallow",6.651167,0,1
2017,49.5,"Deep",2.966805,0,0
2017,49.5,"Mid",5.079974,0,1
