"YEAR","GEAR","C1_RETAINED_ROUND_KG","C2_SUBLEGAL_BAIT_KG","C3_LEGAL_BAIT_KG","C4_RETAINED_OTHER_KG","C5_SUBLEGAL_RETAINED_KG","C_TOTAL_RETAINED_KG","R1_SUBLEGAL_RELEASED_KG","R2_LEGAL_RELEASED_KG","R2_LEGAL_RELEASED_MORT_KG","R3_SUBLEGAL_LICED_KG","R4_LEGAL_LICED_KG","R_TOTAL_RELEASED_KG"
2018,"TRAP",877281.2,0,0,0,0,877281.2,267111,109.1,10.9,17758.5,5757,290746.5
2013,"TRAWL UNSPECIFIED",3530.6,0,0,0,0,3530.6,0,0,0,0,0,0
2016,"TRAWL UNSPECIFIED",174.4,0,0,0,0,174.4,0,0,0,0,0,0
2019,"TRAWL UNSPECIFIED",100.8,0,0,0,76,252.8,0,0,0,0,0,0
2013,"TRAWL BOTTOM",178870.5,0,0,3217,0,182087.5,83383.2,35050.9,6804,0,0,125238.1
2016,"TRAWL BOTTOM",108493.7,0,0,893,0,109386.7,205673.5,39193.6,9286,0,0,254153.1
2019,"TRAWL BOTTOM",33323.7,0,0,329,4724,43100.7,589021.6,43672.4,5354,0,0,638048
2008,"LONGLINE",1246227.7,24,972,0,0,1247223.7,102388.5,22206.1,3935.9,3967.5,11877,144375
2011,"LONGLINE",1082426.7,0,720,0,0,1083146.7,150061.5,9369.8,1661.2,4692,10650,176434.5
2014,"LONGLINE",984934.7,1.5,549,0,0,985485.2,75228,2837.3,504.7,2662.5,10587,91819.5
2021,"LONGLINE",0,0,0,0,0,0,9,0,0,0,0,9
2008,"TRAWL MIDWATER",1376.7,0,0,29,0,1405.7,8.1,18.8,0,0,0,26.9
2011,"TRAWL MIDWATER",1003.7,0,0,82,0,1085.7,670.1,555.6,80,0,0,1305.7
2018,"TRAWL MIDWATER",-77725.6,0,0,4,78117,78512.4,33265.8,277.2,30,0,0,33573
2007,"STANDARD BOTTOM TRAWL",38934.2,0,0,183,0,39117.2,24112,14847.2,1603,0,0,40562.2
2007,"TRAP",2139971.6,0,0,0,0,2139971.6,152938.5,7405.1,733.9,5080.5,7785,173943
2014,"TRAP",570627.9,0,0,0,0,570627.9,100998,5.5,0.5,3880.5,3069,107953.5
2017,"TRAP",689721.4,0,0,0,0,689721.4,142740,292.1,28.9,4122,7059,154242
2020,"TRAP",1265361.5,0,0,0,0,1265361.5,8485707,199.3,19.7,22870.5,1278,8510074.5
2009,"TRAWL UNSPECIFIED",3755.1,0,0,139,0,3894.1,1208.2,0,0,0,0,1208.2
2012,"TRAWL UNSPECIFIED",859.8,0,0,0,0,859.8,0,0,0,0,0,0
2015,"TRAWL UNSPECIFIED",598.7,0,0,0,0,598.7,0,0,0,0,0,0
2018,"TRAWL UNSPECIFIED",59,0,0,0,48,155,0,0,0,0,0,0
