"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",1554.34
"Lingcod","OPHIODON ELONGATUS",1522.26
"Spiny dogfish","SQUALUS ACANTHIAS",1121.91
"Yelloweye rockfish","SEBASTES RUBERRIMUS",302.67
"Redbanded rockfish","SEBASTES BABCOCKI",287.99
